session_id,interface_option,question_id,answer
a7bb5591-a88b-4c19-aef9-f95912f6ea94,single,single_what_works,The possibility to easily search based on two filters (price and another variable like rating or distance to city centre) 
a7bb5591-a88b-4c19-aef9-f95912f6ea94,single,single_title_filter_feedback,User friendly and quick
aaece07b-b498-490d-a4a2-7c0c80782feb,single,single_what_works,"I liked the most:

1. ease of setting filters

2. division into certain segments makes it easier to search

3. the complexity was good and not overwhelming"
aaece07b-b498-490d-a4a2-7c0c80782feb,single,single_title_filter_feedback,I like the ease that allowed me to efficiently select a location for booking.
aaece07b-b498-490d-a4a2-7c0c80782feb,single,single_title_filter_improve,"I think that as everything runs horizontally, the change of ranges in the title should also be horizontal. More filters after selecting the full list in a segment. The issue is that I made the final booking from the full list and not from the one displayed on the first page."
aba196a9-b65f-4115-9f51-986d115d77f2,single,single_what_works,nothing
aba196a9-b65f-4115-9f51-986d115d77f2,single,single_title_filter_feedback,it worked fine
aba196a9-b65f-4115-9f51-986d115d77f2,single,single_title_filter_improve,I really don't now
aed5130a-5254-40ef-9130-ef62a8c984d7,single,single_what_works,"the interface is good for selecting movies, but when it comes to selecting accommodation, we are guided by more specific criteria, which in my opinion require clearer filtering options"
aed5130a-5254-40ef-9130-ef62a8c984d7,single,single_title_filter_feedback,I missed the ability to set independent filters
af333a5b-e51b-441e-8191-c300e5ccf9f6,single,single_what_works,"The categorization of different categories was useful. For instance having budget, medium and expensive price for the price category."
af333a5b-e51b-441e-8191-c300e5ccf9f6,single,single_title_filter_feedback,It was convenient and fast to set your filters.
af333a5b-e51b-441e-8191-c300e5ccf9f6,single,single_title_filter_improve,A quick search would also help.
afde493d-4d56-4f34-9266-9f461e76b6ab,single,single_what_works,Clear searching and multiple features listed 
afde493d-4d56-4f34-9266-9f461e76b6ab,single,single_title_filter_feedback,Not sure
afde493d-4d56-4f34-9266-9f461e76b6ab,single,single_title_filter_improve,not sure
b83c0354-eacf-4173-93e1-74727e4ba6d6,single,single_what_works,Intuitive and easy to use. Even for me that doesn't use streaming services ;)
b83c0354-eacf-4173-93e1-74727e4ba6d6,single,single_title_filter_feedback,Makes it really easy to restrict the result set to only show appropriate items.
b83c0354-eacf-4173-93e1-74727e4ba6d6,single,single_title_filter_improve,"Maybe more emphasis on the fact, that the title is interactive. Maybe emphasize the arrows a little bit more? "
c12ff853-b429-47ad-8ce3-02b04ebc559a,single,single_what_works,I think it's nice to explore different options depending on one's most important criteria.
c12ff853-b429-47ad-8ce3-02b04ebc559a,single,single_title_filter_feedback,Very efficient to search over the desired price range (as it sets automatically relevant price ranges).
c12ff853-b429-47ad-8ce3-02b04ebc559a,single,single_title_filter_improve,Not being able to filter among multiple criteria is for me a limitation in the case of searching for something specific. So I would maybe add a sorting criterion among each list. 
c20c3aee-ab85-4dee-828b-547971984672,single,single_what_works,grouping
c20c3aee-ab85-4dee-828b-547971984672,single,single_title_filter_improve,be able to toggle lists out to not constantly scroll
c22e9783-8fae-42aa-a3f8-ebc26d07cb3e,single,single_what_works,"Not much to be honest. It felt somewhat cumbersome. I prefer to choose my filters and sorting, and then go through a list or gallery of offers. Seeing only closest apartments or with particular rating is a nice feature, but can be also achieved with price/distance/rating filters and then those features can be easily combined. "
c829072d-50a1-401d-9d8c-bab9c62cb632,single,single_what_works,"Categories of accommodation (distance, price etc) reminded me of movie genres in Netflix and made it easy, playful."
c829072d-50a1-401d-9d8c-bab9c62cb632,single,single_title_filter_feedback,It made the search faster.
c829072d-50a1-401d-9d8c-bab9c62cb632,single,single_title_filter_improve,A sidebar with a table of contents maybe? so that I don't have to scroll to know the categories - I can directly pick them from the sidebar.
ca8eec1e-1827-4fb4-9468-8685d30968b1,single,single_what_works,It was easy to compare prices.
ca8eec1e-1827-4fb4-9468-8685d30968b1,single,single_title_filter_feedback,Very intuitive
ca8eec1e-1827-4fb4-9468-8685d30968b1,single,single_title_filter_improve,"I’d like to have the option to choose a geographical direction, because there are places I definitely wouldn’t want to visit, for example due to the weather conditions. "
d0a30739-2b23-46af-93d6-0f818cb62925,single,single_what_works,tbh nothing..
d0a30739-2b23-46af-93d6-0f818cb62925,single,single_title_filter_feedback,reinvented the wheel but a square one
d0a30739-2b23-46af-93d6-0f818cb62925,single,single_title_filter_improve,i completely dislike it so in my mind there is no way to improve it other than use another one
d47dda25-aae8-45af-9865-d3c316b462f2,single,single_title_filter_improve,"1. Rather impossible to achieve with this UI, but just like in the previous task, I’m missing the ability to sort by more than one category.
2. I’m missing some kind of indicator showing which way the arrow will adjust the filters, e.g., whether going up means cheaper or more expensive."
d47dda25-aae8-45af-9865-d3c316b462f2,single,single_what_works,"You can see individual hotels, not just hotel groups."
d47dda25-aae8-45af-9865-d3c316b462f2,single,single_title_filter_feedback,It’s clearly displayed which filters have been applied.
d4d0b915-3478-48d3-a9db-ce77bc8ad9ba,single,single_what_works,Nothing
d7e128a7-91fe-44bc-bf99-cd20c44085d0,single,single_what_works,easy filtering and comparing
d7e128a7-91fe-44bc-bf99-cd20c44085d0,single,single_title_filter_feedback,-
d7e128a7-91fe-44bc-bf99-cd20c44085d0,single,single_title_filter_improve,-
e00aa829-9211-4fbf-a351-e5e103933d28,single,single_what_works,
e394db6e-6273-4010-9180-c54bbf05b1f4,single,single_what_works,The Netflix-style filtering is surprisingly quick and intuitive.
e394db6e-6273-4010-9180-c54bbf05b1f4,single,single_title_filter_feedback,"Being able to filter by titles helps me concentrate on one specific aspect, which feels quite intuitive and user-friendly..."
e394db6e-6273-4010-9180-c54bbf05b1f4,single,single_title_filter_improve,"...but what I do miss in this context is the ability to link filtering criteria together. I'm not entirely sure if it would be ideal from a UX perspective, but I’d really like to have a way to connect the title-based filtering conditions across different categories. For example, I want to browse objects within a selected price range while still keeping my preferences regarding ratings."
e3e8e8e5-1500-4d4e-b05e-e3d608a54c06,single,single_what_works,Clear categories. Makes sense to group certain offers together.
e3e8e8e5-1500-4d4e-b05e-e3d608a54c06,single,single_title_filter_feedback,accessible on top. clearly visible. most used by me personally
ea8bf447-a6ca-4b46-a65f-969e330b3591,single,single_what_works,Nothing :/
ea8bf447-a6ca-4b46-a65f-969e330b3591,single,single_title_filter_feedback,Nothing :/
ea8bf447-a6ca-4b46-a65f-969e330b3591,single,single_title_filter_improve,"It should be forgotten, ditch the idea "
ef3f11c5-9736-4501-9017-68b08bff1c93,single,single_what_works,I see 3 main category and I can focus on one witch interesting me
ef3f11c5-9736-4501-9017-68b08bff1c93,single,single_title_filter_feedback,everything clear
ef3f11c5-9736-4501-9017-68b08bff1c93,single,single_title_filter_improve,everything clear
f162e491-7004-4271-98bc-21e296fc359c,single,single_title_filter_feedback,It is quite clear
f162e491-7004-4271-98bc-21e296fc359c,single,single_title_filter_improve,To include other features or a combined rating between rating and price + a map on the right side to see where it is located
f5556548-2bbb-450f-a991-8bfb5a04b493,single,single_what_works,N/A
f5556548-2bbb-450f-a991-8bfb5a04b493,single,single_title_filter_feedback,N/A
f5556548-2bbb-450f-a991-8bfb5a04b493,single,single_title_filter_improve,I couldn't filter by multiple inputs at once
f65d982f-777a-4802-bdd6-eb0bb4f35965,single,single_what_works,The separate list categories
f65d982f-777a-4802-bdd6-eb0bb4f35965,single,single_title_filter_improve,Number of beds/people could have been shown in the prewiew
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,single,single_what_works,less overloaded then the interface before
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,single,single_title_filter_feedback,it was very clear what I'm filtering
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,single,single_title_filter_improve,"""It felt intuitive to vertically ( ↑ ↓ ) scroll a list title (e.g. “Price: Low → Medium → High) to update the list below."" this felt inverted. high was archived when pressing down. i expect pressing down going down = low.

i saw at the second task that the arrows are there. before it wasn't clear how to get to different filters. so having it more stand out what is currently selected and a preview of what comes when navigating the filter in a another direction so to speak. 

also having just one list instead of different filters with a list each. so a combination of interface 1 and this one. "
